"location","lat","long","elev"
"p317",8.89857686264,-77.8913033797,224.815261491
"p318",8.85187205936,-82.0191623628,72.7722772277
"p319",8.87784590394,-78.8446754804,36.1109986992
"p320",8.83496293692,-81.9671384572,90.1123595506
"p321",8.86064502769,-81.8368376557,131.614848899
"p322",8.89822705886,-79.8352583605,104.346090854
"p323",8.80994352527,-81.6225957849,195.059579862
"p324",8.89162376739,-78.6670250518,263.263833786
"p325",8.86345868169,-78.6132570516,264.281058282
"p326",8.80761649847,-77.6811278986,204.257616248
"p327",8.90101580412,-78.7963765759,192.814183835
"p328",8.89738541545,-78.7525749596,188.253261486
"p329",8.86232374376,-78.7228955804,110.429213483
"p330",8.81504743521,-82.2879616815,1202.18513674
"p331",8.83632006397,-80.1119009688,254.670267533
"p332",8.83427490096,-80.8747650908,57.5348554033
"p333",8.83009909156,-78.8083682558,18.1228733459
"p334",8.84358290276,-77.8356254442,236.94378656
"p335",8.81516814439,-79.9481613669,234.988742542
"p336",8.82516979097,-80.2561128615,206.546631193
"p337",8.8639249743,-80.5659061403,84.4789017341
"p338",8.82381872001,-82.179784422,546.961328976
"p339",8.81331431971,-80.5436791413,43.5853658537
"p340",8.85148806412,-78.2466530004,113.418792624
"p341",8.80017666203,-82.0625850371,453.930416881
"p342",8.77219011449,-81.6904427166,600.357780422
"p343",8.81110506924,-80.7501203229,115.103608397
"p344",8.83036120954,-80.3300912811,138.211550534
"p345",8.87565333357,-78.0848119487,92.743281417
"p346",8.8084228138,-77.9807221393,63.0828937453
"p347",8.8207415752,-80.6079378362,116.403253559
"p348",8.79317636642,-80.6232876575,105.144846797
"p349",8.74281704986,-79.8790512911,241.380932785
"p350",8.78646022073,-79.889786781,166.100071352
"p351",8.77582029659,-80.6688114625,166.294117647
"p352",8.74358836271,-81.2596774808,220.424578709
"p353",8.73166627496,-81.2223272286,135.236567164
"p354",8.80814818524,-77.7899952923,259.805970149
"p355",8.78128020576,-78.2870974898,213.441237442
"p356",8.79398261316,-80.3175450924,141.451668092
"p357",8.77987650324,-80.2570593929,212.182553048
"p358",8.78670609307,-79.8042694681,75.6256658596
"p359",8.77568998736,-80.4003721936,204.46433968
"p360",8.74281293869,-77.606934424,210.091566521
"p361",8.80214688216,-80.0013724817,309.47895358
"p362",8.74595328946,-80.5434829059,194.828185475
"p363",8.80227338513,-78.3966279968,348.126164677
"p364",8.76875833963,-81.3937136919,75.2998712999
"p365",8.82284689416,-80.0610796686,317.574661028
"p366",8.7213112704,-81.3028414489,414.799017027
"p367",8.7763891972,-80.4739360436,181.357182659
"p368",8.79328153706,-77.9534013847,77.1955134801
"p369",8.78054727393,-77.9171132769,88.1071341015
"p370",8.81224814282,-82.4584747321,1789.80861096
"p371",8.77159390214,-78.008602064,57.2577689243
"p372",8.73372245148,-77.9817081846,47.5067750678
"p373",8.71877780857,-80.6017352124,374.129253731
